title,date,url,author,section
Bolsonaro vota contra palestinos na ONU e fere tradição diplomática,"
22 de março de 2019 ",https://www.cartacapital.com.br/mundo/bolsonaro-vota-contra-palestinos-na-onu-e-fere-tradicao-diplomatica/,Thaís Chaves,Mundo
Pobreza na Argentina atinge um terço da população urbana,"
29 de março de 2019 ",https://www.cartacapital.com.br/mundo/pobreza-na-argentina-atinge-um-terco-da-populacao-urbana/,Deutsche Welle,Mundo
 50 dias do governo Bolsonaro: uma ópera-bufa em sete atos,"
19 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/50-dias-do-governo-bolsonaro-uma-opera-bufa-em-sete-atos/,Thais Reis Oliveira,Política
 Bebianno: Declarações à imprensa antecipam poder de fogo contra Bolsonaro,"
17 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/dispensado-bebianno-testa-na-midia-seu-poder-de-fogo-contra-bolsonaro/,Thais Reis Oliveira,Opinião
"Desemprego atinge 13,1 milhões e subutilização é a maior desde 2012","
29 de março de 2019 ",https://www.cartacapital.com.br/sociedade/onad-continua-ibge-desemprego-trimestre-2019/,Thais Reis Oliveira,Sociedade
" A Venezuela, a Constituição e o Comando Sul","
14 de fevereiro de 2019 ",https://www.cartacapital.com.br/mundo/a-venezuela-a-constituicao-e-o-comando-sul/,Celso Amorim,Opinião
PIBinho: economia brasileira repete em 2018 crescimento de 2017,"
28 de fevereiro de 2019 ",https://www.cartacapital.com.br/economia/pibinho-economia-brasileira-repete-em-2018-crescimento-de-2017/,Deutsche Welle,Economia
"Desemprego sobe e atinge 12,7 milhões de trabalhadores","
27 de fevereiro de 2019 ",https://www.cartacapital.com.br/economia/desemprego-sobe-e-atinge-127-milhoes-de-trabalhadores/,Alexandre Putti,Economia
 Presença inédita de militares na economia pode impactar em reformas,"
23 de janeiro de 2019 ",https://www.cartacapital.com.br/economia/presenca-inedita-de-militares-na-economia-pode-impactar-em-reformas/,RFI,Economia
Brasil está entre os piores em participação de mulheres no governo,"
12 de março de 2019 ",https://www.cartacapital.com.br/politica/brasil-esta-entre-os-piores-em-participacao-de-mulheres-no-governo/,Giovanna Galvani,Política
